ID Item,Centro de Custo RM,Unidade,Atividade,Item,Competência,Valor Orçado
I004,001.01.01.001,FAZENDA PORTEIRAS - SERINGAL,SERINGUEIRA,Reforma Plataforma Do Cléber,2026-04,25000
I005,001.01.01.001,FAZENDA PORTEIRAS - SERINGAL,SERINGUEIRA,Caixas,2026-04,136000
I007,001.01.01.001,FAZENDA PORTEIRAS - SERINGAL,SERINGUEIRA,Notebook Para Antônio / Passar O Dele Para O Eli,2026-04,5700
I013,001.01.01.002,FAZENDA COVOÁ - SERINGAL,SERINGUEIRA,Caixas Plásticas,2026-04,15000
I014,001.01.01.002,FAZENDA COVOÁ - SERINGAL,SERINGUEIRA,"Canecas 3,2 Lt",2026-04,30000
I017,001.01.01.003,FAZENDA BANDEIRANTES - SERINGAL,SERINGUEIRA,"Construção Banheiro Feminino 204, 310, 213, 223",2026-04,34000
I018,001.01.01.003,FAZENDA BANDEIRANTES - SERINGAL,SERINGUEIRA,Computador Desktop (mesa),2026-04,4000
I019,001.01.01.003,FAZENDA BANDEIRANTES - SERINGAL,SERINGUEIRA,Reforma De Cerca,2026-04,15520
I020,001.01.01.003,FAZENDA BANDEIRANTES - SERINGAL,SERINGUEIRA,Caixas,2026-04,68000
I021,001.01.01.003,FAZENDA BANDEIRANTES - SERINGAL,SERINGUEIRA,Compressor 140 Psi,2026-04,4500
I022,001.01.01.003,FAZENDA BANDEIRANTES - SERINGAL,SERINGUEIRA,Compra Facas Elétricas E Baterias,2026-06,149500
I023,001.01.01.004,FAZENDA VERA CRUZ - SERINGAL,SERINGUEIRA,Caixas,2027-01,3000
I024,001.01.01.004,FAZENDA VERA CRUZ - SERINGAL,SERINGUEIRA,"Copos 3,2 Lt",2027-01,1000
I025,001.01.01.004,FAZENDA VERA CRUZ - SERINGAL,SERINGUEIRA,Reforma Carreadores,2027-01,13000
I026,001.01.01.005,FAZENDA ESPLANADA - SERINGAL,SERINGUEIRA,"Canecas 3,2 Lt",2026-04,4000
I027,001.02.01.001,CONFINAMENTO,PECUARIA,Silo Trincheira,2026-04,160000
I027,001.02.01.001,CONFINAMENTO,PECUARIA,Silo Trincheira,2026-05,160000
I027,001.02.01.001,CONFINAMENTO,PECUARIA,Silo Trincheira,2026-06,160000
I028,001.02.01.001,CONFINAMENTO,PECUARIA,Tanque De Geomembrana,2026-04,100000
I028,001.02.01.001,CONFINAMENTO,PECUARIA,Tanque De Geomembrana,2026-05,100000
I029,001.02.01.001,CONFINAMENTO,PECUARIA,Ferramentas - Oficial De Manutenção,2026-04,1800
I030,001.02.01.001,CONFINAMENTO,PECUARIA,Radio Comunicador,2026-04,1200
I031,001.02.01.001,CONFINAMENTO,PECUARIA,Indicador S3,2026-04,8000
I032,001.02.01.001,CONFINAMENTO,PECUARIA,Parafusadeira De Bateria  Dewalt,2026-04,3700
I033,001.02.01.001,CONFINAMENTO,PECUARIA,Motobomba (Gasolina),2026-04,1600
I034,001.02.01.002,FAZENDA JÓIA,PECUARIA,Proj. Hidraulico (1 Reserv. 300 K Lts E 17 Bebed. 5 K Lts),2026-05,50000
I034,001.02.01.002,FAZENDA JÓIA,PECUARIA,Proj. Hidraulico (1 Reserv. 300 K Lts E 17 Bebed. 5 K Lts),2026-06,200000
I034,001.02.01.002,FAZENDA JÓIA,PECUARIA,Proj. Hidraulico (1 Reserv. 300 K Lts E 17 Bebed. 5 K Lts),2026-07,100000
I034,001.02.01.002,FAZENDA JÓIA,PECUARIA,Proj. Hidraulico (1 Reserv. 300 K Lts E 17 Bebed. 5 K Lts),2026-08,50000
I035,001.02.01.002,FAZENDA JÓIA,PECUARIA,Reforma E Recuperação De Pastagens,2026-04,50000
I035,001.02.01.002,FAZENDA JÓIA,PECUARIA,Reforma E Recuperação De Pastagens,2026-05,50000
I035,001.02.01.002,FAZENDA JÓIA,PECUARIA,Reforma E Recuperação De Pastagens,2026-06,100000
I035,001.02.01.002,FAZENDA JÓIA,PECUARIA,Reforma E Recuperação De Pastagens,2026-07,100000
I035,001.02.01.002,FAZENDA JÓIA,PECUARIA,Reforma E Recuperação De Pastagens,2026-08,100000
I035,001.02.01.002,FAZENDA JÓIA,PECUARIA,Reforma E Recuperação De Pastagens,2026-09,100000
I035,001.02.01.002,FAZENDA JÓIA,PECUARIA,Reforma E Recuperação De Pastagens,2026-10,100000
